season,band,index,corr
MAM,National,nino34,0.13637924953801306
MAM,National,atl3,0.15039844161868984
MAM,National,tna,0.10295120024103879
MAM,National,tsa,0.09530280722981843
MAM,National,atl_grad,0.0034655829342768864
MAM,National,iod_dmi,0.19663605890628835
MAM,National,wvg2,0.10908031473609767
MAM,National,wvg3,0.12165006465617689
MAM,South,nino34,0.06581991231699323
MAM,South,atl3,0.21534645066011412
MAM,South,tna,0.10343433372105908
MAM,South,tsa,0.1253889877170912
MAM,South,atl_grad,-0.023113373683360534
MAM,South,iod_dmi,0.21275599488097918
MAM,South,wvg2,0.03451758593536613
MAM,South,wvg3,0.047961399964683696
MAM,Central,nino34,0.16145167290825352
MAM,Central,atl3,0.12914901822978112
MAM,Central,tna,0.11117483591148455
MAM,Central,tsa,0.09849836087387258
MAM,Central,atl_grad,0.007705936236208026
MAM,Central,iod_dmi,0.19219051634774978
MAM,Central,wvg2,0.13787348552711706
MAM,Central,wvg3,0.14728464916987877
MAM,North,nino34,0.16238248825898205
MAM,North,atl3,0.07502468198149286
MAM,North,tna,0.07398602273226214
MAM,North,tsa,0.039876524714448996
MAM,North,atl_grad,0.028165156317553605
MAM,North,iod_dmi,0.14850879725100727
MAM,North,wvg2,0.139997037081675
MAM,North,wvg3,0.15318362369222288
AMJ,National,nino34,0.3459074642387889
AMJ,National,atl3,0.0013683719219852043
AMJ,National,tna,0.12785131433295605
AMJ,National,tsa,-0.06883717095627191
AMJ,National,atl_grad,0.18364510204716905
AMJ,National,iod_dmi,0.024318821620346685
AMJ,National,wvg2,0.3199940951784982
AMJ,National,wvg3,0.33160974905602325
AMJ,South,nino34,0.3621025061135602
AMJ,South,atl3,0.044319381364213824
AMJ,South,tna,0.1289294022493534
AMJ,South,tsa,-0.087161722624438
AMJ,South,atl_grad,0.20136638594260006
AMJ,South,iod_dmi,0.03503694426231259
AMJ,South,wvg2,0.3257833823518176
AMJ,South,wvg3,0.3330201848766071
AMJ,Central,nino34,0.30057149785043247
AMJ,Central,atl3,0.013118298776905984
AMJ,Central,tna,0.11270576913338398
AMJ,Central,tsa,-0.04133714265782427
AMJ,Central,atl_grad,0.14425785530209467
AMJ,Central,iod_dmi,0.04004568886377323
AMJ,Central,wvg2,0.2824618042493769
AMJ,Central,wvg3,0.2919635789489028
AMJ,North,nino34,0.30142402526505924
AMJ,North,atl3,-0.06002749458792803
AMJ,North,tna,0.11465237898282202
AMJ,North,tsa,-0.06710074668288137
AMJ,North,atl_grad,0.16958073609968763
AMJ,North,iod_dmi,-0.013027734095367952
AMJ,North,wvg2,0.2831600147996343
AMJ,North,wvg3,0.29932550603919655
JJA,National,nino34,-0.021153470136186056
JJA,National,atl3,0.011004487874148403
JJA,National,tna,-0.021583688618315392
JJA,National,tsa,0.010700362078199278
JJA,National,atl_grad,-0.027626917619055218
JJA,National,iod_dmi,0.3165084179284826
JJA,National,wvg2,-0.010340215552758412
JJA,National,wvg3,-0.017426622316086892
JJA,South,nino34,0.031225613122886114
JJA,South,atl3,-0.23807492319573836
JJA,South,tna,-0.19664360214927123
JJA,South,tsa,-0.3987117694554412
JJA,South,atl_grad,0.11270262007767609
JJA,South,iod_dmi,0.33172080988189934
JJA,South,wvg2,0.10711802686571159
JJA,South,wvg3,0.08729481392800459
JJA,Central,nino34,-0.06861017586875592
JJA,Central,atl3,0.1064592096225448
JJA,Central,tna,0.05489595706635057
JJA,Central,tsa,0.14061528368926843
JJA,Central,atl_grad,-0.05298685964602053
JJA,Central,iod_dmi,0.24754220867220209
JJA,Central,wvg2,-0.0736791910179544
JJA,Central,wvg3,-0.07796308892010398
JJA,North,nino34,0.025610258555775856
JJA,North,atl3,0.018169768040982075
JJA,North,tna,-0.01620501680658054
JJA,North,tsa,0.06476581601896286
JJA,North,atl_grad,-0.062405697363619866
JJA,North,iod_dmi,0.25705717356621194
JJA,North,wvg2,0.015062708067571156
JJA,North,wvg3,0.014943840065499599
JAS,National,nino34,-0.28863841671286594
JAS,National,atl3,0.15570519727224638
JAS,National,tna,0.16604181503085297
JAS,National,tsa,0.2118619317968486
JAS,National,atl_grad,-0.004599600804548076
JAS,National,iod_dmi,0.28614490228280776
JAS,National,wvg2,-0.35239183017848535
JAS,National,wvg3,-0.36119397534622394
JAS,South,nino34,-0.09245358947310633
JAS,South,atl3,0.25718189574709077
JAS,South,tna,-0.05894512830011747
JAS,South,tsa,0.16723473717125414
JAS,South,atl_grad,-0.17236176766733446
JAS,South,iod_dmi,0.3940520318590982
JAS,South,wvg2,-0.13573057851051007
JAS,South,wvg3,-0.13341134111160138
JAS,Central,nino34,-0.3954552372378361
JAS,Central,atl3,0.1682672689607812
JAS,Central,tna,0.27138007527516617
JAS,Central,tsa,0.26417470192865355
JAS,Central,atl_grad,0.051398318867735916
JAS,Central,iod_dmi,0.17955186897961467
JAS,Central,wvg2,-0.4563757320142213
JAS,Central,wvg3,-0.4673574906388458
JAS,North,nino34,-0.1437466122348993
JAS,North,atl3,0.025290960185545625
JAS,North,tna,0.07922344487626784
JAS,North,tsa,0.08776545046430408
JAS,North,atl_grad,0.007364756908856957
JAS,North,iod_dmi,0.30486762213129004
JAS,North,wvg2,-0.20462025132799183
JAS,North,wvg3,-0.21386704243698573
JJAS,National,nino34,-0.10200086461864998
JJAS,National,atl3,0.10410763398468408
JJAS,National,tna,0.10518707634481647
JJAS,National,tsa,0.13073450791324495
JJAS,National,atl_grad,0.00033152932372508195
JJAS,National,iod_dmi,0.29031493260272223
JJAS,National,wvg2,-0.13348153485632436
JJAS,National,wvg3,-0.13947483088637058
JJAS,South,nino34,-0.03854458574684443
JJAS,South,atl3,-0.07247744238123639
JJAS,South,tna,-0.08525041987073617
JJAS,South,tsa,-0.22093377775563247
JJAS,South,atl_grad,0.08417009051040301
JJAS,South,iod_dmi,0.3240097463328314
JJAS,South,wvg2,-0.005705394160359034
JJAS,South,wvg3,-0.02825985369518346
JJAS,Central,nino34,-0.14673499087862313
JJAS,Central,atl3,0.1870155592404045
JJAS,Central,tna,0.18455039151279196
JJAS,Central,tsa,0.24869761117031147
JJAS,Central,atl_grad,-0.013609936230294217
JJAS,Central,iod_dmi,0.23412172972651185
JJAS,Central,wvg2,-0.1928933422055107
JJAS,Central,wvg3,-0.19436288275593053
JJAS,North,nino34,-0.03437292538773502
JJAS,North,atl3,0.04371653792953353
JJAS,North,tna,0.057970706639855346
JJAS,North,tsa,0.10998099538065495
JJAS,North,atl_grad,-0.027673145358788447
JJAS,North,iod_dmi,0.2529348526291341
JJAS,North,wvg2,-0.06991561085934087
JJAS,North,wvg3,-0.07097057638208565
ASO,National,nino34,0.33361069707225854
ASO,National,atl3,-0.14273658003758166
ASO,National,tna,0.10808882002558004
ASO,National,tsa,-0.03308573033168912
ASO,National,atl_grad,0.12057921179237084
ASO,National,iod_dmi,0.4802982574484309
ASO,National,wvg2,0.23642272129722966
ASO,National,wvg3,0.21843320372603622
ASO,South,nino34,0.3556688332269282
ASO,South,atl3,-0.0651479535232124
ASO,South,tna,-0.10790787800590244
ASO,South,tsa,0.016794059632714946
ASO,South,atl_grad,-0.10884683577404207
ASO,South,iod_dmi,0.412811435128656
ASO,South,wvg2,0.27359853030473136
ASO,South,wvg3,0.25220094680756555
ASO,Central,nino34,0.21360436767363633
ASO,Central,atl3,-0.14544295624016262
ASO,Central,tna,0.18581424196810842
ASO,Central,tsa,-0.012962253840637008
ASO,Central,atl_grad,0.17609917714584125
ASO,Central,iod_dmi,0.4689640896282076
ASO,Central,wvg2,0.11965303767781765
ASO,Central,wvg3,0.10278600643693567
ASO,North,nino34,0.3874839682423151
ASO,North,atl3,-0.17894136540055303
ASO,North,tna,0.18067658530474745
ASO,North,tsa,-0.08578330139432601
ASO,North,atl_grad,0.2231999954472937
ASO,North,iod_dmi,0.4757109078984642
ASO,North,wvg2,0.2892012830452583
ASO,North,wvg3,0.2751902345141653
SON,National,nino34,0.5200093322271774
SON,National,atl3,-0.24007080846045034
SON,National,tna,0.22391113510376223
SON,National,tsa,-0.12569507706142125
SON,National,atl_grad,0.3087340319492533
SON,National,iod_dmi,0.5179894710473265
SON,National,wvg2,0.45272355429596484
SON,National,wvg3,0.43634864602375084
SON,South,nino34,0.4978680223105851
SON,South,atl3,-0.2261492540509321
SON,South,tna,0.1559923221706558
SON,South,tsa,-0.09204553559959883
SON,South,atl_grad,0.21847751477670577
SON,South,iod_dmi,0.5026653427767358
SON,South,wvg2,0.4193930141091275
SON,South,wvg3,0.40999761639260873
SON,Central,nino34,0.5088209036720395
SON,Central,atl3,-0.22942605836351856
SON,Central,tna,0.22882554736677932
SON,Central,tsa,-0.14234817198359664
SON,Central,atl_grad,0.32603475988046837
SON,Central,iod_dmi,0.4935803449289521
SON,Central,wvg2,0.44966774986115493
SON,Central,wvg3,0.4336149599575028
SON,North,nino34,0.5204313490114618
SON,North,atl3,-0.24951555584283433
SON,North,tna,0.26514054187983255
SON,North,tsa,-0.12972334783404474
SON,North,atl_grad,0.3511019722302079
SON,North,iod_dmi,0.5269207206268663
SON,North,wvg2,0.45823571931520723
SON,North,wvg3,0.4363215459918473
OND,National,nino34,0.6059752920484986
OND,National,atl3,-0.19376814978016368
OND,National,tna,0.062117576696444445
OND,National,tsa,-0.11844105281215972
OND,National,atl_grad,0.1542130359444349
OND,National,iod_dmi,0.6173781223313205
OND,National,wvg2,0.5798514489342882
OND,National,wvg3,0.5664105816253865
OND,South,nino34,0.5732405197544851
OND,South,atl3,-0.2120004556647483
OND,South,tna,0.010360647139561025
OND,South,tsa,-0.1056973947015598
OND,South,atl_grad,0.09222262654723554
OND,South,iod_dmi,0.5919096081085952
OND,South,wvg2,0.5398181874584241
OND,South,wvg3,0.5296194505180661
OND,Central,nino34,0.6108114526222364
OND,Central,atl3,-0.17925494319042148
OND,Central,tna,0.038406959010395696
OND,Central,tsa,-0.14493823507681045
OND,Central,atl_grad,0.15083493684076496
OND,Central,iod_dmi,0.5951928971412448
OND,Central,wvg2,0.5979456245033877
OND,Central,wvg3,0.5840489996489391
OND,North,nino34,0.6002148933562708
OND,North,atl3,-0.17422742895689783
OND,North,tna,0.1554836379209992
OND,North,tsa,-0.09372926415844945
OND,North,atl_grad,0.22912953064610125
